Nome do conjunto de anúncios,Dia,Região,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
QD_Produtos||All_cities||traffic,2021-11-20,Ceará,active,adset,Traffic||Branding geral||Novembro,Cliques no link,1,692,843,3.31,3.31,1.218208092,1,2,0.144508671,0.118623962,0,0,232,84,0,0.03939795,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Alagoas,active,adset,Traffic||Branding geral||Novembro,Cliques no link,7,1004,1127,5.09,0.73,1.12250996,7,7,0.697211155,0.621118012,0,0,323,152,0,0.03348105,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Pará,active,adset,Traffic||Branding geral||Novembro,0,0,0,18,0.05,0.00,0,0,0,0,0,0,0,0,0,0,0,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,38,6771,7967,37.96,1.00,1.176635652,34,45,0.502141486,0.476967491,0,0,2686,1128,0,0.03365556,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Paraíba,active,adset,Traffic||Branding geral||Novembro,Cliques no link,13,3020,3624,14.59,1.12,1.2,12,15,0.397350993,0.358719647,0,0,1802,656,0,0.02223701,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-20,Rio Grande do Sul,active,adset,Traffic||Branding geral||Novembro,0,0,16,18,0.07,0.00,1.125,0,0,0,0,0,0,0,0,0,0,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,40,7371,8641,41.25,1.03,1.172296839,39,46,0.529100529,0.462909385,0,0,3018,1268,0,0.0325338,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Sergipe,active,adset,Traffic||Branding geral||Novembro,Cliques no link,14,4148,4891,20.76,1.48,1.179122469,14,19,0.337512054,0.286240033,0,0,3066,1068,0,0.01943484,2021-11-20,2021-11-20
QD_Produtos||All_cities||traffic,2021-11-20,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,17,3660,4393,21.63,1.27,1.200273224,17,22,0.464480874,0.386979285,0,0,941,448,0,0.0482729,2021-11-20,2021-11-20
QD_Vantagens ||All_cities||traffic,2021-11-19,Bahia,active,adset,Traffic||Branding geral||Novembro,Cliques no link,43,6503,7807,39.81,0.93,1.200522836,42,60,0.645855759,0.550787755,0,0,2065,864,0,0.04607196,2021-11-19,2021-11-19
QD_Vantagens ||All_cities||traffic,2021-11-19,Pernambuco,active,adset,Traffic||Branding geral||Novembro,Cliques no link,27,3323,4225,21.78,0.81,1.271441469,25,35,0.75233223,0.639053254,0,0,728,346,0,0.06293869,2021-11-19,2021-11-19
