Nome da campanha,Nome do conjunto de anúncios,Dia,Idade,Status de veiculação,Nível de veiculação,Nome da campanha,Tipo de resultado,Resultados,Alcance,Impressões,Valor gasto (BRL),Custo por resultado,Frequência,Cliques no link únicos,Cliques (todos),CTR único (taxa de cliques no link),CTR (taxa de cliques no link),Instalações do aplicativo,Custo por instalação de aplicativo,Ativações de aplicativos,Ativações do aplicativo únicas,Custo por ativação de aplicativo,Custo por ativação do aplicativo única,Início dos relatórios,Término dos relatórios
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-21,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,51,13744,17902,61.89,1.21,1.302532014,49,72,0.356519208,0.28488437,,,5563,2136,,0.02897472,2021-12-21,2021-12-21
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-20,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,94,145,0.63,0.63,1.542553191,1,1,1.063829787,0.689655172,,,25,7,,0.09,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-20,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,39,3162,5311,21.43,0.55,1.679633144,35,45,1.106894371,0.734324986,,,824,392,,0.05466837,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-20,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,18,1796,2963,13.43,0.75,1.649777283,18,24,1.002227171,0.607492406,,,422,185,,0.07259459,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-20,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,16,1906,3048,10.42,0.65,1.599160546,16,16,0.839454355,0.524934383,,,693,240,,0.04341667,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-20,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,37,10048,12878,39.69,1.07,1.281648089,37,51,0.368232484,0.287311694,,,3538,1540,,0.02577273,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-20,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,75,14912,18327,62.05,0.83,1.229010193,73,90,0.489538627,0.40923228,,,4896,2000,,0.031025,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-20,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,42,7376,9340,42.79,1.02,1.26626898,41,52,0.555856833,0.449678801,,,2058,968,,0.04420455,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-20,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,376,475,2.33,0.78,1.263297872,3,3,0.79787234,0.631578947,,,108,52,,0.04480769,2021-12-20,2021-12-20
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-19,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,39,8928,12129,37.64,0.97,1.358534946,34,47,0.380824373,0.321543408,,,5403,1780,,0.02114607,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-19,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,43,7648,9499,43.71,1.02,1.242024059,40,56,0.523012552,0.452679229,,,3598,1256,,0.03480096,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-19,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,360,506,2.87,0.96,1.405555556,3,4,0.833333333,0.592885375,,,135,76,,0.03776316,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-19,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,48,12928,17336,62.30,1.30,1.340965347,47,71,0.36355198,0.27688048,,,7597,2480,,0.02512097,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-19,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,35,3220,5630,22.31,0.64,1.748447205,33,37,1.02484472,0.621669627,,,1508,521,,0.0428215,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-19,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,20,1888,3214,14.93,0.75,1.702330508,20,23,1.059322034,0.622277536,,,742,244,,0.06118852,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-19,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,3,90,146,0.88,0.29,1.622222222,3,3,3.333333333,2.054794521,,,44,14,,0.06285714,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-19,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,12,1810,3009,10.45,0.87,1.662430939,12,16,0.662983425,0.398803589,,,867,283,,0.0369258,2021-12-19,2021-12-19
Traffic||Branding geral||Dezembro,QD_Natal||All_cities||traffic,2021-12-18,45-54,active,adset,Traffic||Branding geral||Dezembro,,,296,392,3.09,,1.324324324,,2,0,,,,108,60,,0.05150351,2021-12-18,2021-12-18
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-18,18-24,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,17,1738,2956,11.35,0.67,1.700805524,17,18,0.978135788,0.575101488,,,610,228,,0.0497807,2021-12-18,2021-12-18
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-18,25-34,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,49,3054,5386,21.99,0.45,1.763588736,46,52,1.506221349,0.90976606,,,1107,408,,0.05389706,2021-12-18,2021-12-18
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-18,35-44,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,31,1724,3003,14.09,0.45,1.74187935,29,36,1.682134571,1.032301032,,,553,219,,0.0643379,2021-12-18,2021-12-18
Traffic||Branding geral||Dezembro,QD_confra||All_cities||traffic,2021-12-18,45-54,active,adset,Traffic||Branding geral||Dezembro,Cliques no link,1,90,127,0.76,0.76,1.411111111,1,1,1.111111111,0.787401575,,,50,9,,0.08444444,2021-12-18,2021-12-18
